,doi,title,year,location,series,keyword_list,author_list,country
98,10.1145/3396956.3398260,"Artificial Intelligence in Government: Potentials, Challenges, and the Future",2020,"Seoul, Republic of Korea",dg.o '20,"Artificial Intelligence, Frontier Technology, Government Reform, Social Transformation","['Michael Ahn', 'Yu-Che Chen']",Republic of Korea
99,10.1145/3657054.3657131,Research and Practice of Smart Service Platform Construction in the Context of Modernized Governance in the Digital Government Era,2024,"Taipei, Taiwan",dg.o '24,"Data openness, Digital government, Smart service platform",['Mengmeng Wu'],Taiwan
100,10.1145/3657054.3657113,Open Innovation for Digital Transformation: Opportunities and Challenges at the Municipal level,2024,"Taipei, Taiwan",dg.o '24,"Case study, Digital Transformation, Local Government, Municipal level, Open Innovation","['Joel Lima-Junior', 'Kiev Gama', 'Jorge Correia-Neto']",Taiwan
101,10.1007/s10796-019-09945-7,Information Technology Governance Institutionalization and the Behavior of Individuals in the Context of Public Organizations,2020,,,"Partial least squares, Public organizations, Organizational citizenship behavior, IT Governance institutionalization","['Guilherme Wiedenh\\""{o}ft', 'Edimara Luciano', 'Gabriela Pereira']",
102,10.1145/3428502.3428595,Clearing the existing fog over the smart sustainable city concept: highlighting the importance of governance,2020,"Athens, Greece",ICEGOV '20,"Urban sustainability, Sustainable development, Smart sustainable city, Smart governance, Smart and sustainable cities","['Luiza Azambuja', 'Gabriela Pereira', 'Robert Krimmer']",Greece
103,10.1145/3428502.3428594,Research needs for disruptive technologies in smart cities,2020,"Athens, Greece",ICEGOV '20,"Smart City, Research Needs, Internet of Things, Disruptive technologies, Digital Government","['Gabriela Pereira', 'Maria Wimmer', 'Alexander Ronzhyn']",Greece
104,10.1145/3428502.3428592,"Governance innovations, digital transformation and the generation of public value in Smart City initiatives",2020,"Athens, Greece",ICEGOV '20,"urban transformation, public value, governance, Smart cities","['Gabriela Pereira', 'Luis Luna-Reyes', 'J. Gil-Garcia']",Greece
105,10.1145/3326365.3326415,The Evolving e-Governance Curriculum: A Worldwide mapping of Education Programs,2019,"Melbourne, VIC, Australia",ICEGOV '19,"e-Government, Training, Public Administration, Program, Education","['Demetrios Sarantis', 'Soumaya Ben Dhaou', 'Charalampos Alexopoulos', 'Alexander Ronzhyn', 'Gabriela Pereira', 'Yannis Charalabidis']",Australia
106,10.1145/3326365.3326402,A Taxonomy of Smart Cities Initiatives,2019,"Melbourne, VIC, Australia",ICEGOV '19,"Smart City Generations, Smart City, Quadruple Helix, Multi-Stakeholder, E-Government","['Charalampos Alexopoulos', 'Gabriela Pereira', 'Yannis Charalabidis', 'Lorenzo Madrid']",Australia
107,10.3233/IP-170067,Smart governance in the context of smart cities: A literature review,2018,,,"collaborative governance, smart government, e-governance, smart city governance, e-government, Smart governance","['Gabriela Pereira', 'Peter Parycek', 'Enzo Falco', 'Reinout Kleinhans', 'Soon Chun', 'Nabil Adam', 'Beth Noveck']",
108,10.1145/3129757.3129780,People's outcomes for public decision making in Russia,2017,"St. Petersburg, Russia",eGose '17,"electronic participation, e-petition, decision-support tool, consultation","['Lyudmila Vidiasova', 'Michael Sachs', 'Gabriela Pereira']",Russia
109,10.1145/3047273.3047367,Categorizing Obstacles in e-Government: Formal and Informal,2017,"New Delhi AA, India",ICEGOV '17,"implementation, e-public service, e-government, Usability, Technology acceptance, Service-bundles, Obstacle, Informal, Hurdle, Formal, Ease of use, Bundled up needs, Barrier","['Gabriela Pereira', 'Bettina Rinnerbauer', 'Michael Ginner', 'Peter Parycek']",India
110,10.1145/3014087.3014110,Building understanding of municipal operations centers as smart city' initiatives: insights from a cross-case analysis,2016,"St. Petersburg, Russia",EGOSE '16,"smart cities governance, smart cities, municipal operations center, multiple cases study","['Gabriela Pereira', ""Maur\\'{\\i}cio Testa"", 'Marie Macadar', 'Peter Parycek', 'Luiza Azambuja']",Russia
111,10.1145/2463728.2463801,An e-democracy experience: digital cabinet office of Rio Grande do Sul state (Brazil),2012,"Albany, New York, USA",ICEGOV '12,"participation, e-government, e-democracy","['Marie Macadar', 'Gabriela Pereira', 'Vanessa Daniel']",USA
